Codigo especie,familia,Species,Name,Synonim,UICN,Endemismo,Migracion
UTPL_A0001,Cracidae,Aburria aburri,Wattled Guan,null,null,null,null
UTPL_A0002,Accipitridae,Accipiter bicolor,Bicolored Hawk,null,LC,null,null
UTPL_A0004,Accipitridae,Accipiter superciliosus,Tiny Hawk,null,LC,null,null
UTPL_A0005,Accipitridae,Accipiter ventralis,Plain-breasted Hawk,null,null,null,null
UTPL_A0006,Scolopacidae,Actitis macularius,Spotted Sandpiper,null,LC,null,MB
UTPL_A0007,Trochilidae,Adelomyia melanogenys,Speckled Hummingbird,null,LC,null,null
UTPL_A0008,Apodidae,Aeronautes montivagus,White-tipped Swift,null,LC,null,null
UTPL_A0009,Trochilidae,Aglaeactis cupripennis,Shining Sunbeam,null,LC,null,null
UTPL_A0010,Trochilidae,Aglaiocercus coelestis,Violet-tailed Sylph,null,LC,null,null
UTPL_A0011,Trochilidae,Aglaiocercus kingi,Long-tailed Sylph,null,LC,null,null
UTPL_A0012,Tyrannidae,Agriornis albicauda, White-tailed shrike-tyrant,null,VU,null,null
UTPL_A0013,Rallidae,Amaurolimnas concolor,Uniform Crake,null,null,null,null
UTPL_A0014,Cardinalidae,Amaurospiza concolor,Blue Seedeater,null,null,null,null
UTPL_A0015,Trochilidae,Amazilia amabilis,Blue-chested Hummingbird,null,null,null,null
UTPL_A0016,Trochilidae,Amazilia amazilia,Amazilia Hummingbird,null,LC,null,null
UTPL_A0017,Trochilidae,Amazilia franciae,Andean Emerald,null,LC,null,null
UTPL_A0018,Trochilidae,Amazilia rosenbergi,Purple-chested Hummingbird,null,null,B-Ch,null
UTPL_A0019,Trochilidae,Amazilia tzacatl,Rufous-tailed Hummingbird,null,LC,null,null
UTPL_A0020,Psittacidae,Amazona autumnalis,Red-lored Parrot,null,null,null,null
UTPL_A0021,Psittacidae,Amazona farinosa,Mealy Amazon,null,null,null,null
UTPL_A0022,Icteridae,Amblycercus holosericeus,Yellow-billed Cacique,null,LC,null,null
UTPL_A0024,Cotingidae,Ampelioides tschudii,Scaled Fruiteater,null,LC,null,null
UTPL_A0025,Cotingidae,Ampelion rubrocristatus,Red-crested Cotinga,null,LC,null,null
UTPL_A0027,Furnariidae,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,null,LC,null,null
UTPL_A0028,Tyrannidae,Anairetes nigrocristatus,Black-crested Tit-Tyrant,null,LC,S-SO,null
UTPL_A0029,Tyrannidae,Anairetes parulus,Tufted Tit-Tyrant,null,LC,null,null
UTPL_A0031,Anatidae,Anas bahamensis,White-cheeked Pintail,null,LC,null,null
UTPL_A0032,Anatidae,Anas cyanoptera,Cinnamon Teal,null,null,null,MB-D
UTPL_A0033,Anatidae,Anas discors,Blue-winged Teal,null,LC,null,MB
UTPL_A0034,Anatidae,Anas georgica,Yellow-billed Pintail,null,null,null,null
UTPL_A0035,Ramphastidae,Andigena hypoglauca,Gray-breasted Mountain-Toucan,null,NT,null,null
UTPL_A0036,Thraupidae,Anisognathus igniventris,Scarlet-bellied Mountain-Tanager,null,LC,null,null
UTPL_A0037,Thraupidae,Anisognathus notabilis,Black-chinned Mountain-Tanager,null,LC,LOcA,null
UTPL_A0038,Trochilidae,Anthracothorax nigricollis,Black-throated Mango,null,null,null,null
UTPL_A0040,Scolopacidae,Aphriza virgata,Surfbird,null,null,null,MB
UTPL_A0041,Psittacidae,Ara ambiguus,Great Green Macaw,null,null,null,null
UTPL_A0042,Psittacidae,Ara severus,Chestnut-fronted Macaw,null,null,null,null
UTPL_A0043,Rallidae,Aramides axillaris,Rufous-necked Wood-Rail,null,LC,null,null
UTPL_A0044,Rallidae,Aramides wolfi,Brown Wood-Rail,null,null,B-Ch,null
UTPL_A0045,Aramidae,Aramus guarauna,Limpkin,null,null,null,null
UTPL_A0046,Psittacidae,Aratinga weddellii,Dusky-headed Parakeet,null,LC,null,null
UTPL_A0047,Ardeidae,Ardea alba,Great Egret,null,LC,null,MB - C ?
UTPL_A0048,Ardeidae,Ardea cocoi,Cocoi Heron,null,LC,null,null
UTPL_A0049,Ardeidae,Ardea herodias,Great Blue Heron,null,LC,null,MB - D
UTPL_A0050,Scolopacidae,Arenaria interpres,Ruddy Turnstone,null,null,null,MB
UTPL_A0051,Emberizidae,Arremon abeillei,Black-capped Sparrow,null,LC,BT - RM,null
UTPL_A0052,Emberizidae,Arremon assimilis,Gray-browed Brush-Finch,null,null,null,null
UTPL_A0053,Emberizidae,Arremon aurantiirostris,Orange-billed Sparrow,null,LC,null,null
UTPL_A0054,Emberizidae,Arremon brunneinucha,Chestnut-capped Brush-Finch,Atlapetes brunneinucha,LC,null,null
UTPL_A0056,Emberizidae,Arremonops conirostris,Black-striped Sparrow,null,LC,null,null
UTPL_A0057,Strigidae,Asio flammeus,Short-eared Owl,null,null,null,null
UTPL_A0059,Furnariidae,Asthenes flammulata,Many-striped Canastero,null,LC,null,null
UTPL_A0060,Furnariidae,Asthenes griseomurina,Mouse-colored Thistletail,Schizoeaca griseomurina�,LC,LVI,null
UTPL_A0062,Fringillidae,Astragalinus psaltria,Lesser Goldfinch,null,null,null,null
UTPL_A0063,Strigidae,Athene cunicularia,Burrowing Owl,Speotyto cunicularia,null,null,null
UTPL_A0064,Emberizidae,Atlapetes albiceps,White-headed Brush-Finch,null,LC,BT,null
UTPL_A0065,Emberizidae,Atlapetes latinuchus,Yellow-breasted Brush-Finch,null,LC,null,null
UTPL_A0066,Emberizidae,Atlapetes leucopterus,White-winged Brush-Finch,null,LC,LVI,null
UTPL_A0067,Emberizidae,Atlapetes pallidiceps,Pale-headed Brush-Finch,null,null,S-SO,null
UTPL_A0068,Emberizidae,Atlapetes pallidinucha,Pale-naped Brush-Finch,null,LC,null,null
UTPL_A0069,Emberizidae,Atlapetes seebohmi,Bay-crowned Brush-Finch,null,LC,S-SO,null
UTPL_A0071,Hirundinidae,Atticora tibialis,White-thighed Swallow,null,null,null,null
UTPL_A0072,Tyrannidae,Attila spadiceus,Bright-rumped Attila,null,null,null,null
UTPL_A0073,Tyrannidae,Attila torridus,Ochraceous Attila,null,VU,BT,null
UTPL_A0075,Ramphastidae,Aulacorhynchus haematopygus,Crimson-rumped Toucanet,null,LC,null,null
UTPL_A0076,Ramphastidae,Aulacorhynchus prasinus,Emerald Toucanet,null,LC,null,null
UTPL_A0077,Furnariidae,Automolus ochrolaemus,Buff-throated Foliage-gleaner,null,null,null,null
UTPL_A0078,Momotidae,Baryphthengus martii,Rufous Motmot,null,LC,null,null
UTPL_A0079,Parulidae,Basileuterus trifasciatus,Three-banded Warbler,null,LC,S-SO,null
UTPL_A0080,Parulidae,Basileuterus tristriatus,Three-striped Warbler,null,LC,null,null
UTPL_A0081,Trochilidae,Boissonneaua jardini,Velvet-purple Coronet,null,LC,LOcA,null
UTPL_A0082,Trochilidae,Boissonneaua matthewsii,Chestnut-breasted Coronet,null,LC,null,null
UTPL_A0084,Ardeidae,Botaurus pinnatus,Pinnated Bittern,null,LC,null,null
UTPL_A0085,Psittacidae,Brotogeris pyrrhopterus,Gray-cheeked Parakeet,null,EN,BT,null
UTPL_A0086,Psittacidae,Brotogeris versicolurus,Canary-winged Parakeet,null,null,null,null
UTPL_A0087,Strigidae,Bubo virginianus,Great Horned Owl,null,LC,null,null
UTPL_A0088,Ardeidae,Bubulcus ibis,Cattle Egret,null,LC,null,MB - C ?
UTPL_A0089,Burhinidae,Burhinus superciliaris,Peruvian Thick-knee,null,null,null,null
UTPL_A0090,Accipitridae,Buteo albigula,White-throated Hawk,null,LC,null,null
UTPL_A0091,Accipitridae,Buteo albonotatus,Zone-tailed Hawk,null,LC,null,null
UTPL_A0092,Accipitridae,Buteo brachyurus,Short-tailed Hawk,null,LC,null,null
UTPL_A0093,Accipitridae,Buteo nitidus,Gray-lined Hawk,Asturina nitida,LC,null,null
UTPL_A0094,Accipitridae,Buteo platypterus,Broad-winged Hawk,null,LC,null,MB
UTPL_A0095,Accipitridae,Buteo swainsoni,Swainson�s Hawk,null,LC,null,MB -D-P
UTPL_A0096,Accipitridae,Buteogallus anthracinus,Common Black-Hawk,null,null,null,null
UTPL_A0097,Accipitridae,Buteogallus meridionalis,Savanna Hawk,null,LC,null,null
UTPL_A0098,Accipitridae,Buteogallus solitarius,Solitary Eagle,null,NT,null,null
UTPL_A0099,Accipitridae,Buteogallus urubitinga,Great Black-Hawk,null,LC,null,null
UTPL_A0101,Thraupidae,Buthraupis montana,Hooded Mountain-Tanager,null,LC,null,null
UTPL_A0102,Ardeidae,Butorides striata,Striated Heron,null,LC,null,null
UTPL_A0103,Icteridae,Cacicus cela,Yellow-rumped Cacique,null,LC,null,null
UTPL_A0104,Icteridae,Cacicus mycrorhynchus,Scarlet-rumped Cacique,null,null,null,null
UTPL_A0106,Anatidae,Cairina moschata,Muscovy Duck,null,LC,null,null
UTPL_A0107,Scolopacidae,Calidris bairdii,Baird�s Sandpiper,null,null,null,MB - P
UTPL_A0108,Scolopacidae,Calidris canutus,Red Knot,null,null,null,MB - P
UTPL_A0109,Scolopacidae,Calidris fuscicollis,White-rumped Sandpiper,null,null,null,MB - P
UTPL_A0110,Scolopacidae,Calidris himantopus,Stilt Sandpiper,null,null,null,MB
UTPL_A0111,Scolopacidae,Calidris mauri,Western Sandpiper,null,null,null,MB
UTPL_A0112,Scolopacidae,Calidris melanotos,Pectoral Sandpiper,null,null,null,MB - P
UTPL_A0113,Scolopacidae,Calidris minutilla,Least Sandpiper,null,null,null,MB
UTPL_A0114,Scolopacidae,Calidris pusilla,Semipalmated Sandpiper,null,null,null,MB
UTPL_A0115,Trochilidae,Calliphlox mitchellii,Purple-throated Woodstar,null,LC,null,null
UTPL_A0116,Picidae,Campephilus gayaquilensis,Guayaquil Woodpecker,null,NT,BT,null
UTPL_A0119,Tyrannidae,Camptostoma obsoletum,Southern Beardless-Tyrannulet,null,LC,null,null
UTPL_A0120,Furnariidae,Campylorhamphus pusillus,Brown-billed Scythebill,null,LC,null,null
UTPL_A0121,Furnariidae,Campylorhamphus trochilirostris,Red-billed Scythebill,null,LC,null,null
UTPL_A0122,Troglodytidae,Campylorhynchus fasciatus,Fasciated Wren,Campylorhynchus fasciatus,LC,BT,null
UTPL_A0123,Troglodytidae,Campylorhynchus zonatus,Band-backed Wren,null,null,null,null
UTPL_A0124,Troglodytidae,Cantorchilus nigricapillus,Bay Wren,Thryothorus nigricapillus,null,null,null
UTPL_A0125,Troglodytidae,Cantorchilus superciliaris,Superciliated Wren,Tryothorus superciliaris,null,BT,null
UTPL_A0126,Capitonidae,Capito squamatus,Orange-fronted Barbet,null,null,B-Ch,null
UTPL_A0127,Tyrannidae,Capsiempis flaveola,Yellow Tyrannulet,null,LC,null,null
UTPL_A0128,Falconidae,Caracara cheriway,Crested Caracara,null,LC,null,null
UTPL_A0130,Cotingidae,Carpodectes hopkei,Black-tipped Cotinga,null,null,null,null
UTPL_A0131,Thraupidae,Catamblyrhynchus diadema,Plushcap,null,LC,null,null
UTPL_A0132,Thraupidae,Catamenia analis,Band-tailed Seedeater,null,LC,null,null
UTPL_A0133,Thraupidae,Catamenia inornata,Plain-colored Seedeater,null,LC,null,null
UTPL_A0134,Cathartidae,Cathartes aura,Turkey Vulture,null,LC,null,MB - C 
UTPL_A0135,Turdidae,Catharus dryas,Spotted Nightingale-Thrush,null,LC,null,null
UTPL_A0136,Turdidae,Catharus fuscater,Slaty-backed Nightingale-Thrush,null,LC,null,null
UTPL_A0137,Turdidae,Catharus ustulatus,Swainson's Thrush,null,LC,null,MB
UTPL_A0138,Picidae,Celeus loricatus,Cinnamon Woodpecker,null,null,null,null
UTPL_A0139,Cotingidae,Cephalopterus penduliger,Long-wattled Umbrellabird,null,VU,B-Ch,null
UTPL_A0141,Thamnophilidae,Cercomacra nigricans,Jet Antbird,null,null,null,null
UTPL_A0142,Thamnophilidae,Cercomacra tyrannina,Dusky Antbird,null,null,null,null
UTPL_A0143,Trochilidae,Chaetocercus berlepschi,Esmeraldas Woodstar,null,null,BT,null
UTPL_A0144,Trochilidae,Chaetocercus bombus,Little Woodstar,Acestrura bombus,VU,BT,null
UTPL_A0145,Trochilidae,Chaetocercus mulsant,White-bellied Woodstar,null,LC,null,null
UTPL_A0146,Apodidae,Chaetura brachyura,Short-tailed Swift,null,LC,null,null
UTPL_A0147,Apodidae,Chaetura cinereiventris,Gray-rumped Swift,null,LC,null,null
UTPL_A0150,Trochilidae,Chalybura buffonii,White-vented Plumeleteer,null,LC,null,null
UTPL_A0151,Cracidae,Chamaepetes goudotii,Sickle-winged Guan,null,LC,null,null
UTPL_A0152,Charadriidae,Charadrius collaris,Collared Plover,null,LC,null,null
UTPL_A0153,Charadriidae,Charadrius nivosus,Snowy Plover,null,null,null,null
UTPL_A0154,Charadriidae,Charadrius semipalmatus,Semipalmated Plover,null,null,null,MB 
UTPL_A0155,Charadriidae,Charadrius vociferus,Killdeer,null,LC,null,MB
UTPL_A0156,Charadriidae,Charadrius wilsonia,Wilson�s Plover,null,null,null,null
UTPL_A0158,Alcedinidae,Chloroceryle americana,Green Kingfisher,null,LC,null,null
UTPL_A0159,Thraupidae,Chlorochrysa phoenicotis,Glistening-green Tanager,null,LC,LOcA,null
UTPL_A0160,Thraupidae,Chlorophanes spiza,Green Honeycreeper,null,LC,null,null
UTPL_A0162,Thraupidae,Chlorornis riefferii,Grass-green Tanager,null,LC,null,null
UTPL_A0163,Emberizidae,Chlorospingus canigularis,Ashy-throated Bush-Tanager,null,LC,null,null
UTPL_A0164,Emberizidae,Chlorospingus flavigularis,Yellow-throated Bush-Tanager,null,LC,null,null
UTPL_A0165,Thraupidae,Chlorospingus ophthalmicus,Yellow-throated Chlorospingus,null,LC,null,null
UTPL_A0167,Cardinalidae,Chlorothraupis stolzmanni,Ochre-breasted Tanager,null,LC,LOcA,null
UTPL_A0168,Accipitridae,Chondrohierax uncinatus,Hook-billed Kite,null,LC,null,null
UTPL_A0169,Caprimulgidae,Chordeiles acutipennis,Lesser Nighthawk,null,LC,null,null
UTPL_A0171,Laridae,Chroicocephalus cirrocephalus,Gray-hooded Gull,Larus cirrocephalus,null,null,null
UTPL_A0172,Strigidae,Ciccaba nigrolineata,Black-and-white Owl,null,LC,null,null
UTPL_A0173,Strigidae,Ciccaba virgata,Mottled Owl,null,LC,null,null
UTPL_A0175,Cinclidae,Cinclus leucocephalus,White-capped Dipper,null,LC,null,null
UTPL_A0176,Troglodytidae,Cinnycerthia unirufa,Rufous Wren,null,LC,null,null
UTPL_A0177,Accipitridae,Circus cinereus,Cinereous Harrier,null,null,null,null
UTPL_A0178,Troglodytidae,Cistothorus platensis,Sedge Wren,null,LC,null,null
UTPL_A0180,Columbidae,Claravis pretiosa,Blue Ground-Dove,null,LC,null,null
UTPL_A0181,Furnariidae,Clibanornis rubiginosus,Ruddy Foliage-gleaner,null,null,null,null
UTPL_A0182,Tyrannidae,Cnipodectes subbrunneus,Brownish Twistwing,null,LC,null,null
UTPL_A0183,Cuculidae,Coccycua minuta,Little Cuckoo,Piaya minuta,LC,null,null
UTPL_A0184,Cuculidae,Coccyzus erythropthalmus,Black-billed Cuckoo,null,LC,null,MB
UTPL_A0185,Cuculidae,Coccyzus lansbergi,Gray-capped Cuckoo,null,LC,null,null
UTPL_A0186,Trochilidae,Coeligena coeligena,,null,LC,null,null
UTPL_A0187,Trochilidae,Coeligena iris,Rainbow Starfrontlet,null,LC,S-SO,null
UTPL_A0189,Trochilidae,Coeligena torquata,Collared Inca,null,LC,null,null
UTPL_A0190,Thraupidae,Coereba flaveola,Bananaquit,null,LC,null,null
UTPL_A0191,Picidae,Colaptes rubiginosus,Golden-olive Woodpecker,Piculus rubiginosus,LC,null,null
UTPL_A0192,Picidae,Colaptes rupicola,Andean Flicker,null,LC,null,null
UTPL_A0193,Trochilidae,Colibri coruscans,Sparkling Violetear,null,LC,null,null
UTPL_A0194,Trochilidae,Colibri delphinae,Brown Violetear,null,LC,null,null
UTPL_A0196,Columbidae,Columba livia,Rock Pigeon,null,null,null,null
UTPL_A0197,Columbidae,Columbina buckleyi,Ecuadorian Ground-Dove,null,LC,BT,null
UTPL_A0198,Columbidae,Columbina cruziana,Croaking Ground-Dove,null,LC,null,null
UTPL_A0199,Columbidae,Columbina minuta,Plain-breasted Ground-Dove,null,null,null,null
UTPL_A0200,Thraupidae,Conirostrum cinereum,Cinereous Conebill,null,null,null,null
UTPL_A0201,Thraupidae,Conirostrum sitticolor,Blue-backed Conebill,null,LC,null,null
UTPL_A0202,Tyrannidae,Conopias albovittatus,White-ringed Flycatcher,null,null,null,null
UTPL_A0204,Thraupidae,Conothraupis speculigera,Black-and-white Tanager,null,NT,null,MI
UTPL_A0205,Tyrannidae,Contopus cinereus,Tropical Pewee,null,LC,BT SSP,null
UTPL_A0206,Tyrannidae,Contopus cooperi,Olive-sided Flycatcher,Contopus borealis,NT,null,MB
UTPL_A0207,Tyrannidae,Contopus fumigatus,Smoke-colored Pewee,null,LC,null,null
UTPL_A0208,Tyrannidae,Contopus sordidulus,Western Wood-Pewee,null,LC,null,MB
UTPL_A0210,Cathartidae,Coragyps atratus,Black Vulture,null,LC,null,null
UTPL_A0212,Furnariidae,Cranioleuca antisiensis,Line-cheeked Spinetail,null,LC,S-SO,null
UTPL_A0213,Furnariidae,Cranioleuca erythrops,Red-faced Spinetail,null,null,null,null
UTPL_A0214,Cracidae,Crax rubra,Great Curassow,null,null,null,null
UTPL_A0215,Cuculidae,Crotophaga ani,Smooth-billed Ani,null,null,null,null
UTPL_A0216,Cuculidae,Crotophaga major,Greater Ani,null,null,null,null
UTPL_A0217,Cuculidae,Crotophaga sulcirostris,Groove-billed Ani,null,LC,null,null
UTPL_A0218,Accipitridae,Cryptoleucopteryx plumbea,Plumbeous Hawk,Leucopternis plumbea,null,null,null
UTPL_A0219,Pipridae,Cryptopipo holochlora,Green Manakin,null,null,null,null
UTPL_A0220,Tinamidae,Crypturellus berlepschi,Berlepsch�s Tinamou,null,null,B-Ch,null
UTPL_A0222,Tinamidae,Crypturellus soui,Little Tinamou,null,LC,null,null
UTPL_A0223,Tinamidae,Crypturellus transfasciatus,Pale-browed Tinamou,null,NT,BT,null
UTPL_A0225,Thraupidae,Cyanerpes caeruleus,Purple Honeycreeper,null,LC,null,null
UTPL_A0226,Cardinalidae,Cyanocompsa cyanoides,Blue-black Grosbeak,null,LC,null,null
UTPL_A0227,Corvidae,Cyanocorax mystacalis,White-tailed Jay,null,LC,BT,null
UTPL_A0229,Corvidae,Cyanolyca turcosa,Turquoise Jay,null,LC,null,null
UTPL_A0230,Vireonidae,Cyclarhis gujanensis,Rufous-browed Peppershrike,null,LC,null,null
UTPL_A0231,Thamnophilidae,Cymbilaimus lineatus,Fasciated Antshrike,null,null,null,null
UTPL_A0232,Troglodytidae,Cyphorhinus phaeocephalus,Song Wren,null,LC,null,null
UTPL_A0233,Troglodytidae,Cyphorhinus phaeocephalus,Song Wren,null,LC,null,null
UTPL_A0234,Thraupidae,Dacnis berlepschi,Scarlet-breasted Dacnis,null,null,B-Ch,null
UTPL_A0235,Thraupidae,Dacnis cayana,Blue Dacnis,null,LC,null,null
UTPL_A0236,Thraupidae,Dacnis lineata,Black-faced Dacnis,null,LC,null,null
UTPL_A0237,Thraupidae,Dacnis venusta,Scarlet-thighed Dacnis,null,null,null,null
UTPL_A0238,Trochilidae,Damophila julie,Violet-bellied Hummingbird,null,LC,null,null
UTPL_A0239,Furnariidae,Dendrocincla fuliginosa,Plain-brown Woodcreeper,null,LC,null,null
UTPL_A0241,Furnariidae,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,null,null,null,null
UTPL_A0242,Anatidae,Dendrocygna autumnalis,Black-bellied Whistling-Duck,null,LC,null,null
UTPL_A0244,Thraupidae,Diglossa albilatera,White-sided Flowerpiercer,null,LC,null,null
